id,region,ticker,date,value_usd
1409,china,gdp,2019-11-09,27679800000000.0
1410,china,gdp,2019-11-10,27679800000000.0
1411,china,gdp,2019-11-11,27679800000000.0
1412,china,gdp,2019-11-12,27679800000000.0
1413,china,gdp,2019-11-13,27679800000000.0
1414,china,gdp,2019-11-14,27679800000000.0
1415,china,gdp,2019-11-15,27679800000000.0
1416,china,gdp,2019-11-16,27679800000000.0
1417,china,gdp,2019-11-17,27679800000000.0
1418,china,gdp,2019-11-18,27679800000000.0
1419,china,gdp,2019-11-19,27679800000000.0
1420,china,gdp,2019-11-20,27679800000000.0
1421,china,gdp,2019-11-21,27679800000000.0
1422,china,gdp,2019-11-22,27679800000000.0
1423,china,gdp,2019-11-23,27679800000000.0
1424,china,gdp,2019-11-24,27679800000000.0
1425,china,gdp,2019-11-25,27679800000000.0
1426,china,gdp,2019-11-26,27679800000000.0
1427,china,gdp,2019-11-27,27679800000000.0
1428,china,gdp,2019-11-28,27679800000000.0
1429,china,gdp,2019-11-29,27679800000000.0
1430,china,gdp,2019-11-30,27679800000000.0
1431,china,gdp,2019-12-01,27679800000000.0
1432,china,gdp,2019-12-02,27679800000000.0
1433,china,gdp,2019-12-03,27679800000000.0
1434,china,gdp,2019-12-04,27679800000000.0
1435,china,gdp,2019-12-05,27679800000000.0
1436,china,gdp,2019-12-06,27679800000000.0
1437,china,gdp,2019-12-07,27679800000000.0
1438,china,gdp,2019-12-08,27679800000000.0
1439,china,gdp,2019-12-09,27679800000000.0
1440,china,gdp,2019-12-10,27679800000000.0
1441,china,gdp,2019-12-11,27679800000000.0
1442,china,gdp,2019-12-12,27679800000000.0
1443,china,gdp,2019-12-13,27679800000000.0
1444,china,gdp,2019-12-14,27679800000000.0
1445,china,gdp,2019-12-15,27679800000000.0
1446,china,gdp,2019-12-16,27679800000000.0
1447,china,gdp,2019-12-17,27679800000000.0
1448,china,gdp,2019-12-18,27679800000000.0
1449,china,gdp,2019-12-19,27679800000000.0
1450,china,gdp,2019-12-20,27679800000000.0
1451,china,gdp,2019-12-21,27679800000000.0
1452,china,gdp,2019-12-22,27679800000000.0
1453,china,gdp,2019-12-23,27679800000000.0
1454,china,gdp,2019-12-24,27679800000000.0
1455,china,gdp,2019-12-25,27679800000000.0
1456,china,gdp,2019-12-26,27679800000000.0
1457,china,gdp,2019-12-27,27679800000000.0
1458,china,gdp,2019-12-28,27679800000000.0
1459,china,gdp,2019-12-29,27679800000000.0
1460,china,gdp,2019-12-30,27679800000000.0
1461,china,gdp,2019-12-31,27679800000000.0
1462,china,gdp,2020-01-01,20524480000000.0
1463,china,gdp,2020-01-02,20524480000000.0
1464,china,gdp,2020-01-03,20524480000000.0
1465,china,gdp,2020-01-04,20524480000000.0
1466,china,gdp,2020-01-05,20524480000000.0
1467,china,gdp,2020-01-06,20524480000000.0
1468,china,gdp,2020-01-07,20524480000000.0
1469,china,gdp,2020-01-08,20524480000000.0
1470,china,gdp,2020-01-09,20524480000000.0
1471,china,gdp,2020-01-10,20524480000000.0
1472,china,gdp,2020-01-11,20524480000000.0
1473,china,gdp,2020-01-12,20524480000000.0
1474,china,gdp,2020-01-13,20524480000000.0
1475,china,gdp,2020-01-14,20524480000000.0
1476,china,gdp,2020-01-15,20524480000000.0
1477,china,gdp,2020-01-16,20524480000000.0
1478,china,gdp,2020-01-17,20524480000000.0
1479,china,gdp,2020-01-18,20524480000000.0
1480,china,gdp,2020-01-19,20524480000000.0
1481,china,gdp,2020-01-20,20524480000000.0
1482,china,gdp,2020-01-21,20524480000000.0
1483,china,gdp,2020-01-22,20524480000000.0
1484,china,gdp,2020-01-23,20524480000000.0
1485,china,gdp,2020-01-24,20524480000000.0
1486,china,gdp,2020-01-25,20524480000000.0
1487,china,gdp,2020-01-26,20524480000000.0
1488,china,gdp,2020-01-27,20524480000000.0
1489,china,gdp,2020-01-28,20524480000000.0
1490,china,gdp,2020-01-29,20524480000000.0
1491,china,gdp,2020-01-30,20524480000000.0
1492,china,gdp,2020-01-31,20524480000000.0
1493,china,gdp,2020-02-01,20524480000000.0
1494,china,gdp,2020-02-02,20524480000000.0
1495,china,gdp,2020-02-03,20524480000000.0
1496,china,gdp,2020-02-04,20524480000000.0
1497,china,gdp,2020-02-05,20524480000000.0
1498,china,gdp,2020-02-06,20524480000000.0
1499,china,gdp,2020-02-07,20524480000000.0
1500,china,gdp,2020-02-08,20524480000000.0
1501,china,gdp,2020-02-09,20524480000000.0
1502,china,gdp,2020-02-10,20524480000000.0
1503,china,gdp,2020-02-11,20524480000000.0
1504,china,gdp,2020-02-12,20524480000000.0
1505,china,gdp,2020-02-13,20524480000000.0
1506,china,gdp,2020-02-14,20524480000000.0
1507,china,gdp,2020-02-15,20524480000000.0
1508,china,gdp,2020-02-16,20524480000000.0
1509,china,gdp,2020-02-17,20524480000000.0
1510,china,gdp,2020-02-18,20524480000000.0
1511,china,gdp,2020-02-19,20524480000000.0
1512,china,gdp,2020-02-20,20524480000000.0
1513,china,gdp,2020-02-21,20524480000000.0
1514,china,gdp,2020-02-22,20524480000000.0
1515,china,gdp,2020-02-23,20524480000000.0
1516,china,gdp,2020-02-24,20524480000000.0
1517,china,gdp,2020-02-25,20524480000000.0
1518,china,gdp,2020-02-26,20524480000000.0
1519,china,gdp,2020-02-27,20524480000000.0
1520,china,gdp,2020-02-28,20524480000000.0
1521,china,gdp,2020-02-29,20524480000000.0
1522,china,gdp,2020-03-01,20524480000000.0
1523,china,gdp,2020-03-02,20524480000000.0
1524,china,gdp,2020-03-03,20524480000000.0
1525,china,gdp,2020-03-04,20524480000000.0
1526,china,gdp,2020-03-05,20524480000000.0
1527,china,gdp,2020-03-06,20524480000000.0
1528,china,gdp,2020-03-07,20524480000000.0
1529,china,gdp,2020-03-08,20524480000000.0
1530,china,gdp,2020-03-09,20524480000000.0
