id,region,ticker,date,Adj Close,price_usd,high_usd,low_usd,open_usd
2223,egypt,egx30,2022-01-31,,,,,
2224,egypt,egx30,2022-02-01,,,,,
2225,egypt,egx30,2022-02-02,,,,,
2226,egypt,egx30,2022-02-03,,,,,
2227,egypt,egx30,2022-02-04,,,,,
2228,egypt,egx30,2022-02-05,,,,,
2229,egypt,egx30,2022-02-06,,,,,
2230,egypt,egx30,2022-02-07,,,,,
2231,egypt,egx30,2022-02-08,,,,,
2232,egypt,egx30,2022-02-09,,,,,
2233,egypt,egx30,2022-02-10,,,,,
2234,egypt,egx30,2022-02-11,,,,,
2235,egypt,egx30,2022-02-12,,,,,
2236,egypt,egx30,2022-02-13,,,,,
2237,egypt,egx30,2022-02-14,,,,,
2238,egypt,egx30,2022-02-15,,,,,
2239,egypt,egx30,2022-02-16,,,,,
2240,egypt,egx30,2022-02-17,,,,,
2241,egypt,egx30,2022-02-18,,,,,
2242,egypt,egx30,2022-02-19,,,,,
2243,egypt,egx30,2022-02-20,,,,,
2244,egypt,egx30,2022-02-21,,,,,
2245,egypt,egx30,2022-02-22,,,,,
2246,egypt,egx30,2022-02-23,,,,,
2247,egypt,egx30,2022-02-24,,,,,
2248,egypt,egx30,2022-02-25,,,,,
2249,egypt,egx30,2022-02-26,,,,,
2250,egypt,egx30,2022-02-27,,,,,
2251,egypt,egx30,2022-02-28,,,,,
2252,egypt,egx30,2022-03-01,,,,,
2253,egypt,egx30,2022-03-02,,,,,
2254,egypt,egx30,2022-03-03,,,,,
2255,egypt,egx30,2022-03-04,,,,,
2256,egypt,egx30,2022-03-05,,,,,
2257,egypt,egx30,2022-03-06,,,,,
2258,egypt,egx30,2022-03-07,,,,,
2259,egypt,egx30,2022-03-08,,,,,
2260,egypt,egx30,2022-03-09,,,,,
2261,egypt,egx30,2022-03-10,,,,,
2262,egypt,egx30,2022-03-11,,,,,
2263,egypt,egx30,2022-03-12,,,,,
2264,egypt,egx30,2022-03-13,,,,,
2265,egypt,egx30,2022-03-14,,,,,
2266,egypt,egx30,2022-03-15,,,,,
2267,egypt,egx30,2022-03-16,,,,,
2268,egypt,egx30,2022-03-17,,,,,
2269,egypt,egx30,2022-03-18,,,,,
2270,egypt,egx30,2022-03-19,,,,,
2271,egypt,egx30,2022-03-20,,,,,
2272,egypt,egx30,2022-03-21,,,,,
2273,egypt,egx30,2022-03-22,,,,,
2274,egypt,egx30,2022-03-23,,,,,
2275,egypt,egx30,2022-03-24,,,,,
2276,egypt,egx30,2022-03-25,,,,,
2277,egypt,egx30,2022-03-26,,,,,
2278,egypt,egx30,2022-03-27,,,,,
2279,egypt,egx30,2022-03-28,,,,,
2280,egypt,egx30,2022-03-29,,,,,
2281,egypt,egx30,2022-03-30,,,,,
2282,egypt,egx30,2022-03-31,,,,,
2283,egypt,egx30,2022-04-01,,,,,
2284,egypt,egx30,2022-04-02,,,,,
2285,egypt,egx30,2022-04-03,,,,,
2286,egypt,egx30,2022-04-04,,,,,
