id,country,date,ticker,value_in_egp
9394,egypt,2022-06-06,low_price_egp,"34,329.42"
9395,egypt,2022-06-06,price_oz_egp,"34,294.04"
9396,egypt,2022-06-06,high_price_egp,"34,667.04"
9397,egypt,2022-06-07,high_price_egp,"34,676.76"
9398,egypt,2022-06-07,low_price_egp,"34,234.66"
9399,egypt,2022-06-07,price_oz_egp,"34,552.71"
9400,egypt,2022-06-07,open_price_egp,"34,347.71"
9401,egypt,2022-06-08,high_price_egp,"34,761.46"
9402,egypt,2022-06-08,low_price_egp,"34,439.47"
9403,egypt,2022-06-08,price_oz_egp,"34,557.03"
9404,egypt,2022-06-08,open_price_egp,"34,611.64"
9405,egypt,2022-06-09,open_price_egp,"34,635.67"
9406,egypt,2022-06-09,high_price_egp,"34,701.56"
9407,egypt,2022-06-09,low_price_egp,"34,370.29"
9408,egypt,2022-06-09,price_oz_egp,"34,531.49"
9409,egypt,2022-06-10,high_price_egp,"35,108.87"
9410,egypt,2022-06-10,price_oz_egp,"34,971.43"
9411,egypt,2022-06-10,low_price_egp,"34,146.04"
9412,egypt,2022-06-10,open_price_egp,"34,574.32"
9413,egypt,2022-06-11,high_price_egp,"35,069.42"
9414,egypt,2022-06-11,low_price_egp,"34,034.06"
9415,egypt,2022-06-11,open_price_egp,"35,039.87"
9416,egypt,2022-06-11,price_oz_egp,"33,991.13"
9417,egypt,2022-06-12,open_price_egp,"35,039.87"
9418,egypt,2022-06-12,low_price_egp,"34,034.06"
9419,egypt,2022-06-12,high_price_egp,"35,069.42"
9420,egypt,2022-06-12,price_oz_egp,"33,991.13"
9421,egypt,2022-06-13,price_oz_egp,"33,991.13"
9422,egypt,2022-06-13,high_price_egp,"35,069.42"
9423,egypt,2022-06-13,low_price_egp,"34,034.06"
9424,egypt,2022-06-13,open_price_egp,"35,039.87"
9425,egypt,2022-06-14,price_oz_egp,"33,798.19"
9426,egypt,2022-06-14,low_price_egp,"33,819.17"
9427,egypt,2022-06-14,high_price_egp,"34,349.96"
9428,egypt,2022-06-14,open_price_egp,"34,054.78"
9429,egypt,2022-06-15,low_price_egp,"33,829.03"
9430,egypt,2022-06-15,price_oz_egp,"34,348.36"
9431,egypt,2022-06-15,high_price_egp,"34,560.35"
9432,egypt,2022-06-15,open_price_egp,"33,888.40"
9433,egypt,2022-06-16,price_oz_egp,"34,709.01"
9434,egypt,2022-06-16,high_price_egp,"34,816.30"
9435,egypt,2022-06-16,open_price_egp,"34,411.18"
9436,egypt,2022-06-16,low_price_egp,"34,030.92"
9437,egypt,2022-06-17,low_price_egp,"34,364.02"
9438,egypt,2022-06-17,high_price_egp,"34,824.46"
9439,egypt,2022-06-17,price_oz_egp,"34,375.02"
9440,egypt,2022-06-17,open_price_egp,"34,801.92"
9441,egypt,2022-06-18,price_oz_egp,"34,486.28"
9442,egypt,2022-06-18,open_price_egp,"34,567.32"
9443,egypt,2022-06-18,low_price_egp,"34,386.97"
9444,egypt,2022-06-18,high_price_egp,"34,680.38"
9445,egypt,2022-06-19,low_price_egp,"34,386.97"
9446,egypt,2022-06-19,high_price_egp,"34,680.38"
9447,egypt,2022-06-19,open_price_egp,"34,567.32"
9448,egypt,2022-06-19,price_oz_egp,"34,486.28"
9449,egypt,2022-06-20,low_price_egp,"34,386.97"
9450,egypt,2022-06-20,price_oz_egp,"34,486.28"
9451,egypt,2022-06-20,high_price_egp,"34,680.38"
9452,egypt,2022-06-20,open_price_egp,"34,567.32"
9453,egypt,2022-06-21,open_price_egp,"34,515.48"
9454,egypt,2022-06-21,low_price_egp,"34,280.37"
9455,egypt,2022-06-21,price_oz_egp,"34,282.15"
9456,egypt,2022-06-21,high_price_egp,"34,611.64"
9457,egypt,2022-06-22,low_price_egp,"34,163.19"
9458,egypt,2022-06-22,high_price_egp,"34,679.08"
9459,egypt,2022-06-22,price_oz_egp,"34,337.93"
9460,egypt,2022-06-22,open_price_egp,"34,368.87"
9461,egypt,2022-06-23,high_price_egp,"34,603.60"
9462,egypt,2022-06-23,price_oz_egp,"34,184.85"
9463,egypt,2022-06-23,low_price_egp,"34,175.07"
9464,egypt,2022-06-23,open_price_egp,"34,440.53"
9465,egypt,2022-06-24,high_price_egp,"34,398.53"
9466,egypt,2022-06-24,open_price_egp,"34,222.99"
9467,egypt,2022-06-24,price_oz_egp,"34,263.59"
9468,egypt,2022-06-24,low_price_egp,"34,108.56"
9469,egypt,2022-06-25,open_price_egp,"34,492.81"
9470,egypt,2022-06-25,high_price_egp,"34,570.16"
9471,egypt,2022-06-25,price_oz_egp,"34,179.79"
9472,egypt,2022-06-25,low_price_egp,"34,152.65"
9473,egypt,2022-06-26,price_oz_egp,"34,179.79"
9474,egypt,2022-06-26,open_price_egp,"34,492.81"
9475,egypt,2022-06-26,low_price_egp,"34,152.65"
9476,egypt,2022-06-26,high_price_egp,"34,570.16"
9477,egypt,2022-06-27,open_price_egp,"34,492.81"
9478,egypt,2022-06-27,high_price_egp,"34,570.16"
9479,egypt,2022-06-27,low_price_egp,"34,152.65"
9480,egypt,2022-06-27,price_oz_egp,"34,179.79"
9481,egypt,2022-06-28,open_price_egp,"34,221.30"
9482,egypt,2022-06-28,high_price_egp,"34,399.06"
9483,egypt,2022-06-28,low_price_egp,"34,113.60"
9484,egypt,2022-06-28,price_oz_egp,"34,152.28"
9485,egypt,2022-06-29,low_price_egp,"34,002.74"
9486,egypt,2022-06-29,price_oz_egp,"34,092.01"
9487,egypt,2022-06-29,open_price_egp,"34,202.13"
9488,egypt,2022-06-29,high_price_egp,"34,513.43"
9489,egypt,2022-06-30,high_price_egp,"34,326.86"
9490,egypt,2022-06-30,open_price_egp,"34,174.95"
9491,egypt,2022-06-30,price_oz_egp,"33,888.67"
9492,egypt,2022-06-30,low_price_egp,"33,881.39"
9493,egypt,2022-07-01,low_price_egp,"33,541.10"
9494,egypt,2022-07-01,open_price_egp,"33,970.99"
9495,egypt,2022-07-01,price_oz_egp,"33,965.02"
9496,egypt,2022-07-01,high_price_egp,"34,067.42"
9497,egypt,2022-07-02,high_price_egp,"34,195.73"
9498,egypt,2022-07-02,low_price_egp,"33,946.85"
9499,egypt,2022-07-02,open_price_egp,"34,088.73"
9500,egypt,2022-07-02,price_oz_egp,"34,083.76"
9501,egypt,2022-07-03,price_oz_egp,"34,083.76"
9502,egypt,2022-07-03,low_price_egp,"33,946.85"
9503,egypt,2022-07-03,high_price_egp,"34,195.73"
9504,egypt,2022-07-03,open_price_egp,"34,088.73"
9505,egypt,2022-07-04,high_price_egp,"34,195.73"
9506,egypt,2022-07-04,price_oz_egp,"34,083.76"
